AG Part #,SKU,Name,Source,Supplier Part #,Cost per,Order Date,Notes,Utilized,Secondary Source,Supplier Part #
88,ok,"Drill bit 13/32 x 5.5"" long",,Chicago Latrobe 45626,,,22 on hand 7/10,PL1,,
104,ok,"Drill Bit 27/64, black oxide 5 3/8""",Machining Resources,D1GP182027,$4.80 ,3/25/2022,50 on hand 7/10,PL1,McMaster,2901A587
115,ok,"Drill Bit, 7/8"", Widia part 14289, reduced shank, coated",Grainger,6WUX9,$29.52 ,3/30/2022, ,PL3,,
116,ok,"Drill bit, Size H x 4 1/8"" long (uncoated)",Machining Resources,D1GP139108,$2.33 ,,45 on hand 7/10,PL1,McMaster,30595A38
117,,"Drill bit, Size Q x 4 3/4"" long (uncoated)",McMaster,30595A48,$6.47 ,2/27/2025,,PL3,,
555,,Drill bit .098 SC CFRP w/DLC,MaxTool,ONSRUD85-915,$78.77 ,11/13/2024,AS tooling,PL3,,
556,,Drill bit .1935 SC CFRP w/DLC,MaxTool,ONSRUD85-885,$114.50 ,11/13/2024,AS tooling,PL3,,
558,,Drill bit #6 1-1-1 1/4D fgr style D S/E router,MSC,40034530,$35.01 ,1/21/2025,AS tooling,PL3,,
,,"Drill bit 1/4"", 3/4"" LOC diamond style 2.5"" long, router",McMAster,6582N49,$16.53 ,8/18/2025,antenna cover,PL3,,
118,,"Drill chuck, 1/8-5/8 keyless",Precision Matthews,KDCRS-16R8T,$129.99 ,5/15/2024,,PL1,,
119,,"Drum Cradle, Steel",Uline,H-4203,$105.00 ,11/9/2021,,PL1,,
120,,"Drum Pump, Steel",Uline,H-1235,$32.00 ,6/3/2020,,"PL1, PL3",,
121,,"Dry Erase Markers, black",McMaster,5929T87,$24.56/12,3/23/2022,,Admin,,
122,,"Dry Film Lubricant, 10 oz can",McMaster,1289K17,$11.76 ,2/1/2022,,Facilities,,
182,,Dry Ice Required for Frozen Shipments,Park Aerospace,,$125.00 ,,,,,
124,,Dust pan,McMaster,72805T81,$8.70 ,3/25/2022,,Facilities,,
125,,"Dust pan, upright 16""x14""x6.5"", 23"" handle",McMaster,7395T15,$27.03 ,3/25/2022,,Facilities,,
126,,Ear Muffs,Uline,S-20449,$38.00 ,3/21/2022,,Facilities,,
127,,"Ear plugs, corded",Uline,S-19874,$97.00 ,3/21/2022,,Facilities,,
128,,"Ear plugs, disposable",Uline,,$69.00 ,2/14/2022,,Facilities,,
569,,electric foam cutting tool,Uline,H-11291,,4/30/2025,,PL2,,
137,,"End Mill 12.5mm, 4F, 34.9 LOC, 86mm long, uncoated",McMaster,8854A26,$36.23 ,5/11/2021,,PL3,,
148,,"End Mill 13mm, 4F,  30m LOC, 88mm long, ALTiN",Atlas Cutting Tools,A71487,$45.40 ,10/16/2023,,PL3,,
153,ok,"End Mill 3/16"", 3F, 9/16"" LOC, 2"" long, uncoated",Machining Resources,E5G95902,$14.88 ,6/30/2025,2 on hand 7/10,"PL1, PL3",Zoro,E5G95902
138,,"End Mill 3/16"", 3F, .75"" LOC, 2.5"" long, uncoated",McMaster,88815A39,$15.82 ,3/21/2022,4 on hand 7/10,PL1,,
159,,"End Mill 3/16"", 3F, 1 1/8"" LOC, 3"" long, ball, uncoated",Zoro,G4496499,$30.95 ,5/22/2024,,"PL1, PL3",,
134,,"End Mill 1/4"", 3F, ball nose, TiN",McMaster,8886A561,$29.68 ,3/30/2022,Timmy,PL3,,
136,ok,"End Mill 1/4"", 3F, 3/4"" LOC, 2.5"" long, ZRN",Machining Resources,41463,$18.40 ,,37 on hand gunsmith 7/10,PL1,Lakeshore Carbide,330014X
95,ok,"End Mill 1/4"", 3F, 3/4"" LOC, 2.5"" long uncoated",Garr ,G28293,,,1 on hand gunsmith 7/10,PL1,,
151,,"End Mill 1/4"", 3F, 1 1/4"" LOC, 3 1/4"" long",Machining Resources,E5G95904,$22.72 ,,bottom metal milling,PL3,,
135,ok,"End Mill 1/4"", 4F 1 1/8"" LOC, 3 1/4"" long, uncoated",Machining Resource,EA304016L,$13.77 ,6/11/2024,23 on hand gunsmith 7/10,"PL1, PL3",,
545,,"End Mill 1/4"", 4F, 4"" long, ball, TiN",McMaster,8887A341,,2/27/2025,AS tooling,PL3,,
546,,"End Mill 1/4"", 3F, 4"" long, square, uncoated",McMaster,8815A44,,2/27/2025,AS tooling,PL3,,
596,,"End Mill 1/4"" Carbide x 1” LOC Uncoated Drill Point Cut Type",Next Industries,11541-73052,$23.56 ,4/9/2025,fiberglass burrs,PL3,,
50,,"End Mill 3/8"", 4F, 4"" long, ball, uncoated",McMaster,8805A68,,2/27/2025,AS tooling,PL3,,
141,,"End Mill 3/8"" ball nose, TiN, 2.5"" long",McMaster,8885A452,$35.20 ,3/25/2022,,PL3,,
142,,"End Mill 3/8"", 2F, 2 1/2"" long, ball, ZrN",MSC,,,,8 on hand 7/10,PL1,Martin Supply,AMG40-1212-B-ZRN
143,,"End Mill 3/8"" dovetail 45 degree straight thread",McMaster,2984A17,,1/8/2025,,"PL1, PL3",,
144,,"End Mill 3/8"" square, ZRN 3 flute",Machining Resource,41733,$40.96 ,,,"PL1, PL3",,
145,,"End Mill 3/8"" uncoated (Widin) 4FL Sq., 1-1/8"" FL, 3-1/2 OAL",AFI,YGTE5H92024,$20.07 ,7/7/2025,,PL1,Machining Resource,EA304024L
152,,"End Mill 3/8"", 3F, 1 1/2"" LOC, 3 1/2"" long",Machining Resources,E5G95908,$49.75 ,3/24/2025,,PL3,,
132,,"End Mill 1/2"", 3F, 1 1/4"" LOC, 3"" long, ZRN",Lakeshore Carbide,,,,4 on hand,PL1,,
150,,"End Mill 1/2"", 3F, 1 5/8 LOC, 4"" long",Machining Resources,E5G95913,$74.29 ,3/24/2025,M5,"PL1, PL3",,
129,,"End Mill 1/2"", 3F, 2"" LOC, 4"" long, TiAlN",Amazon,,,5/17/2021,,"PL1, PL3",,
157,ok,"End Mill 1/2"", 3F, 2 1/2"" LOC, 5"" long, corner radius",YG1,E5G97982,,,1 on hand,PL1,,
61,ok,"End Mill 1/2"", 4F, 1"" LOC, 3"" long, ball, TiN",McMaster,8887A561,,2/19/2024,4 on hand YG1,PL1,,
131,ok,"End Mill 1/2"", 4F, 1"" LOC, 3"" long, TiN",Machining Resources,43593TN,$47.26 ,7/14/2025,49 on hand 7/10,PL1,MSC,7761737
130,ok,"End Mill 1/2"", 4F, 1.5"" LOC, 4"" long",Machining Resources,E5H92901,$38.65 ,5/29/2025,4 on hand 7/10 gunsmith,"PL1, PL3",Lakeshore Carbide,LC215012-A
51,,"End Mill 1/2"", 4F, 2"" LOC, 4"" long, ball, uncoated",McMaster,88805A71,,2/27/2025,AS tooling,PL3,,
149,,"End Mill, 19/32"", 4F, 1 3/8"" LOC, 3 3/8"" long, uncoated",MSC,8762224,$31.09 ,,,"PL1, PL3",,
155,,"End Mill 5/8"", 3F, 1 5/8"" LOC, 3 1/2"" long",Machining Resources,E5G97801,$126.99 ,3/24/2025,,PL3,,
147,,"End Mill 5/8"", 3F, 1 5/8"" LOC, 3 1/2"" long, corner radius",Lakeshore,360058X,$97.71 ,4/25/2022,,PL3,All Industrial,25055852
158,,"End Mill 5/8"", 3F, 2 1/2"" LOC, 5"" long, corner radius 37° helix",Zoro,E5G97807,$145.99 ,6/5/2024,,"PL1, PL3",,
139,ok,"End Mill 3/4"", 2F, 5/8"" LOC, 3 7/16"" long, uncoated",Machining Resources,1108,$22.18 ,5/13/2025,2 on hand 7/11,PL1,MSC,41117383
146,ok,"End Mill 3/4"", 3F, 1 5/8"" LOC, 4"" long, uncoated",,,,,2 on hand 7/11,PL1,,
154,ok,"End Mill 3/4"", 3F, 1 5/8"" LOC, 3.75"" long, uncoated",,,,,2 on hand 7/11,PL1,,
140,ok,"End Mill 3/4"", 4F, 1/2"" LOC, 3.75"" long, uncoated",MSC,41118084,$37.81 ,,2 on hand 7/11,PL1,,
160,ok,"End Mill 3/4"", 4F, 5/8"" LOC, 3.75"" long, uncoated",,,,,8 on hand 7/11,PL1,,
24,,Epoxy 635,US Composites,,,,comes as a kit 1 Gallon,PL2,,
24a,,Epoxy 635 medium hardener,US Composites,EPOX-635314,$92.75 ,2/17/2025,comes as a kit 42.6 oz,PL2,,
24b,,Epoxy 635 fast hardener,US Composites,EPOX-635413,$90.50 ,6/9/2025,comes as a kit 1 Quart,PL2,,
162,,Epoxy-3212,Premium Resin Tech,RDR-3212,"$4,925.00 ",9/10/2024,,PL1,,
162a,,Epoxy Hardener 8402,Premium Resin Tech,RDH-8402,$612.78 ,9/10/2024,,PL1,,
163,,Evercoat 440,English Color,440,$57.35 ,6/13/2025,,"PL1, PL2",,
586,,"Exacto Knives, Xacto",,,,,,PL1,,
164,,Exhaust Fan Motor,Electric Motor Wholesale,13037126,$228.00 ,3/30/2022,,Facilities,,
165,,"Fan, XPower P-80A floor blower",Amazon,B076VR5PJC,$59.99 ,6/19/2024,,Facilities,,
133,34040-1 RevB,"Fiberglass - 7781-497A E-765, 50"", 303 GSM - 38% +/-3% nominal resin content, single poly",Park Aerospace,7781-497A E-765,$47.80 ,7/22/2025,UH60 sensor nose mount antenna cover,PL2,,
133a,34040-1 RevB,Fiberglass antenna cover shell 0°,Park Aerospace,7781-497A E-765,,,UH60 sensor nose mount antenna cover,PL2,,
133b,34040-1 RevB,Fiberglass antenna cover shell 45°,Park Aerospace,7781-497A E-765,,,UH60 sensor nose mount antenna cover,PL2,,
133c,34040-1 RevB,Fiberglass antenna cover shell 90°,Park Aerospace,7781-497A E-765,,,UH60 sensor nose mount antenna cover,PL2,,
284,SG01291-001 SG01290-001,"Fiberglass - Prepreg - Fiberglass Woven (120 Glass) - 38"" Wide 0.005"" Thick - 40% Resin Content w/out pigment (185 gsm OAW) - Ne\A/port 301 250F Resin System",Rock West Composites,14015,,,,PL2,,
284a,SG01291-001,Fiberglass piece for Bandit tailcone left,Rock West Composites,,,,Bandit tailcone,PL2,,
284b,SG01290-001,"Fiberglass piece 1 for Bandit 10"" fuselage",Rock West Composites,,,,Bandit fuselage,PL2,,
284c,SG01290-001,"Fiberglass piece 2 for Bandit 10"" fuselage",Rock West Composites,,,,Bandit fuselage,PL2,,
284d,SG01291-001,Fiberglass piece for Bandit tailcone collar,Rock West Composites,,,,Bandit tailcone collar,PL2,,
284e,SG01291-001,Fiberglass piece for Bandit tailcone right,Rock West Composites,,,,Bandit tailcone,PL2,,
551,SG01290-001,Fiberglass - MTC581-G106-TYPE 120-38% RW-50,SHD,SHDUS0929-(1270)-50,,,SHD fiberglass,PL2,,
551a,SG01296,Fiberglass Bandit wing shell ,SHD,,,,,PL2,,
551b,,,,,,,,PL2,,
551c,SG01545,Fiberglass Horizontal stabilizer shell,SHD,,,,,PL2,,
551d,SG01545,Fiberglass Horizontal stabilizer shell w/pre-cut slits,SHD,,,,,PL2,,
551e,SG01545,"Fiberglass horizontal stabilizer reinforcement 4"" x 2"" w/holes",SHD,,,,,PL2,,
551f,SG01544,Fiberglass vertical stabilizer shell,SHD,,,,,PL2,,
551(1),SG01544,"Fiberglass elevator shell 20 5/8"" x 6 5/8""",,,,,,PL2,,
551(2),SG01544,"Fiberglass elevator seam 20 5/8"" x 4""",,,,,,PL2,,
551(3),,Fiberglass Rudder Shell,,,,,,PL2,,
551(4),,Fiberglass Rudder Seam,,,,,,PL2,,
551(5),SG01299-103,Fiberglass Aileron Shell,,,,,,PL2,,
551(6),SG01299-103,Fiberglass Aileron Seam,,,,,,PL2,,
551(7),SG01290-001,Fiberglass Bandit fuselage piece 1,SHD,,,,,PL2,,
551(8),SG01290-001,Fiberglass Bandit fuselage piece 2,SHD,,,,,PL2,,
553,,"Fiberglass Cloth, 3 oz E Glass",US Composites,FG-C0338,$8.30 ,1/31/2025,,PL2,,
168,,"File 8"" flat",Amazon,,$8.00 ,1/26/2022,,PL1,,
169,,"File 8"" half-round",Amazon,,$7.49 ,12/10/2021,,PL1,,
170,,"File 8"" round",Amazon,,$6.00 ,1/26/2022,,PL1,,
171,,Finger cots,Amazon,X002EHMB73,$5.19 ,7/8/2025,,PL1,,
172,,"Foam Roll, 1/8"", 18"" x 550'",Uline,S-2482P,$61.00 ,2/2/2021,,Shipping,,
173,,"Foam Roll, 12"" x 250'",Uline,S-11822,$86.00 ,10/26/2020,,Shipping,,
572,,"Foam, 2LB urethane pour, kit",US Composites,FOAM-0216,$77.50 ,3/6/2025,control panel cores,PL2,,
572a,SG01545,Bandit Elevator foam core,US Composites,FOAM-0216,,,,PL2,,
572b,SG01544,Bandit Rudder foam core,US Composites,FOAM-0216,,,,PL2,,
572c,SG01299-103,Bandit Aileron foam core,US Composites,FOAM-0216,,,,PL2,,
174,,"Foam, pour 16 lb Part A & B",US Composites,FOAM-1680,$306.00 ,5/2/2022,,PL1,,
175,,"Foam, pour 4 lb kit",US Composites,FOAM-0480 ,$306.00 ,6/11/2024,,PL1,,
176,,"Glass Cleaner, Gleme 20 oz (case of 12)",American Paper & Twine,763128,$3.27 ,10/23/2024,,PL1,English Color,50
212,34040-01 RevB,"Glass Plate for Epoxy Ink w/3"" roller",The Hitt Companies,IN-EPOXYKIT,$33.95 ,7/24/2025,UH-60 antenna cover part marking,PL2,,
179,,"Glass Tube Fuse 1/4"" size 3AG, 3A",McMaster,7085K39,$3.40/5,4/15/2022,Dave,Facilities,,
180,,"Gloves, black latex Raven size:",English Color,66518,$16.20 ,7/14/2025,,Facilities,,
184,,"Gloves, chemical resistant (yellow)",Uline,S-9721,$14/12,2/18/2022,,PL1,,
185,,"Gloves, Coolflex size:",Uline,S-21083,$35/12,6/25/2025,,Facilities,,
186,,"Gloves, Hyflex size:",Uline,S-20733,$55/12,12/20/2021,,Facilities,,
188,,Goo Gone - 1 Gallon,Uline,S-12787,$42.00 ,1/15/2025,,PL1,,
189,,Graphite,Composites One,585895,$175.18 ,9/23/2021,PO,PL1,,
190,,"Grease, AFJ 400 grams",CNC Specialty Store,THK-AFJ-400G,$147.00 ,9/11/2025,"origin: China, 3 yr shelf life",PL3,,
191,,"Grease, Lithium ",Grainger,4NYY5,$10.05 ,8/10/2022,sandblaster,PL1,,
192,,"Grease, Moly Syngard 2000, Schaeffer #248, ",JD Industrial Supply,248,$9.99 ,10/21/2024,,PL3,,
193,,"Grinder, disc",Beaver Industrial Supply,JT414602,"$1,759.00 ",11/8/2023,,PL1,,
194,,"Hand Cleaner, Triton X-Heavy Duty",N Al Chemical,BET-79331-00,131.60/4,,,Facilities,,
196,,"Hand Sanitizer, ULine, 68 oz",Uline,S-20118,$20.00 ,1/19/2022,,Facilities,,
197,,"Hand Soap, Azure foam for dispenser",N Al Chemical,DEB-AZUIL,$54/6,,,Facilities,,
198,,"Heat Gun, Steinel",Amazon,,$48.00 ,9/10/2025,,"PL1, PL2, PL3",,
199,,Heavy Duty Extension Cord - 25',Uline,S-16890,$25.00 ,6/23/2020,,Facilities,,
200,,Hex Key,McMaster,5215A12,$8.33 ,2/2/2022,,PL1,,
578,,HIghlighters,Quill,,,,,Admin,,
201,,Hot Rod Clear,Southeast Auto Parts,HRC40,$119.61 ,3/22/2022,paint,PL1,,
202,,Icing Polyester Putty,English Color,26006,$56.30 ,7/14/2025,,"PL1, PL2",,
202a,,Icing Blue Cream Hardener 4oz ,Amazon,,$9.94 ,9/12/2024,hardener used with icing,"PL1, PL2",,
597,,"Impact Drive adapter 3/8""",Lowes,2260303,$3.48 ,6/16/2025,gunsmith & plugging,PL1,,
203,,"Impact Wrench, Kobalt 1/2"" drive ",Lowes,840780,$154.00 ,3/3/2022,plugging,PL1,,
204,,"Impact Wrench, Kobalt 1/4"" NPT air fitting",Lowes,11303,$2.58 ,3/3/2022,air compressor,Facilities,,
195,34040-01 RevB,"Ink, Epoxy White w/#77 Catalyst clip packet (meets CIA-A-A-56032D I, II, III)",The Hitt Companies,IN-50-110RX-PACKET,$24.15 ,7/24/2025,UH-60 antenna cover part marking,PL2,,
205,,"Ink, printer HP 952 black XL",Amazon,B801B6QGJ42,$57.89 ,9/27/2024,Darlene,Admin,,
206,,"Kevlar Fabric Cut-Protection Sleeve, 10"" long",McMaster,5615T31,$3.86 ,3/28/2022,paint,"PL1, PL3",,
207,,Knife - Quick Change Blue,Uline,H-4288,$7.25 ,2/3/2022,,Facilities,,
,,"Knob, stainless steel 1/2""-13 threads, 2"" wide",McMaster,60250K281,$15.17 ,8/18/2025,wrapping machine,PL2,,
208,,"Kraft Paper Roll, 24"" x 1200""",Uline,S-3575,$29.00 ,2/14/2022,,Shipping,,
209,,"Kraft Paper Roll, 48"" x 1200'",Uline,S-5157,$80.00 ,10/22/2024,,Shipping,,
210,,"Label Printer, Brother P-Touch",Uline,H-5135,$69.00 ,2/24/2021,,Admin,,
211,,"Label Tape, Brother P-Touch",Uline,S-22510,$32.00 ,2/24/2021,,Admin,,
214,,"Labels, Thermal for barcodes",Labels Direct,LD2515DT15PWI,$14.00 ,9/27/2024,,Admin,,
215,,Laquer Thinner,Southeast Auto Parts,,,,,PL1,,
217,,Make-up Applicator,Amazon,,$5.99/50,1/31/2022,,PL1,,
218,,"Mat, 2' x 4'",Uline,H-5940,$106.00 ,2/18/2022,,Facilities,,
560g,,"Metal, aluminum 3/16"" x 1/2"" x 3""  ",LMS,,$2.31 ,3/19/2025,vertical stabilizer plate,PL3,,
560g(1),SG01545,"Metal, aluminum 3/16"" x 1/2"" x 3""  hole spacing 1.97""",,,,,vertical stabilizer plate,PL2,,
560g(2),SG01545,"Metal, aluminum 3/16"" x 1/2"" x 3""  hole spacing 2.175""",,,,,vertical stabilizer plate,PL2,,
560g(3),SG01545,"Metal, aluminum 3/16"" x 1/2"" x 3""  hole spacing 1.825""",,,,,vertical stabilizer plate,PL2,,
560g(4),SG01545,"Metal, aluminum 3/16"" x 1/2"" x 3""  hole spacing 1.52""",,,,,vertical stabilizer plate,PL2,,
219,,"Metal, aluminum  3/16"" x 3/4"" x 5"" 6061",Speedy Metals,61f.188x.75,,3/29/2022,forend aluminum,PL1,,
220,,"Metal, aluminum 3/16"" x 3/4"" x 6"" 6061-t6511",Speedy Metals,N/A,$0.54 ,7/8/2025,forend aluminum,PL1,,
221,,"Metal, aluminum 3/16"" x 3/4"" x 8""",Speedy Metals,,,3/29/2022,forend aluminum,PL1,,
222,,"Metal, aluminum 3/16"" x 3/4"" x 8.5"" 6061-t6511",Speedy Metals,,$0.85 ,6/3/2024,forend aluminum,PL1,,
223,,"Metal, aluminum 3/16"" x 3/4"" x 9"" 6061-t6511",Speedy Metals,,$0.80 ,7/8/2025,forend aluminum,PL1,,
224,,"Metal, aluminum 3/8"" x 3.75"" x 18.5"" 6061",LMS Metal,,$12.54 ,2/3/2025,picatinny rails (15 rails per piece),PL3,,
231,,"Metal, aluminum 1/2"" x 1 3/4"" x 4 1/2""6061-t6511",LMS Metal,,$1.90 ,2/3/2025,"4"" Arca Rails",PL3,,
233,,"Metal, aluminum 1/2"" x 1 3/4"" x 6 1/2"" 6061-t6511",Speedy Metals,,$2.78 ,10/28/2024,"6"" Arca Rails",PL3,,
235,,"Metal, aluminum 1/2"" x 1 3/4"" x 8 1/2"" 6061-t6511",Speedy Metals,,$3.61 ,10/28/2024,"8"" Arca Rails",PL3,,
225,,"Metal, aluminum 5/8"" x 12 1/2"" x 12 1/2"" 6061",LMS Metal,,,,,PL3,,
226,,"Metal, aluminum 3/4"" x 1"" x 3 3/4"" 6061-t6511",Speedy Metals,,$1.47 ,7/8/2025,AG adj hardware,PL3,,
227,,"Metal, aluminum 1"" x 1 1/2"" x 3 3/4"" 60610t6511",Speedy Metals,,$2.84 ,4/8/2025,AG adj hardware,PL3,,
583,,"Metal, aluminum 1"" x 4"" x 35"" 6061",LMS,,$67.46 ,2/25/2025,vertical assembly mold,PL3,,
595,,"Metal, aluminum 1 1/4"" x 1 5/16"" x 3 7/8"" 6061",LMS Metal,,$3.43 ,5/29/2025,BDL Lids short action & levers,PL3,,
581,,"Metal, aluminum 1 1/4"" x 1 5/16"" x 5 1/8"" 6061",LMS Metal,,$4.53 ,5/29/2025,BDL Lids long action,PL3,,
238,,"Metal, aluminum 1 1/4"" x 12.5"" x 12.5"" 6061",LMS,,$105.27 ,10/29/2024,"12"" tube mandrel spokes",PL2,,
234,,"Metal, aluminum 1 1/4"" x 3"" x 8"" 6061",LMS,,$14.26 ,3/26/2025,bottom metal - SA,PL3,,
236,,"Metal, aluminum 1 1/4"" x 3"" x 8 1/2"" 6061",LMS,,$18.00 ,6/4/2025,bottom metal - LA,PL3,,
240,,"Metal, aluminum 1 1/4"" x 7"" x 13"" 6061",LMS,,,,foam core molds (2 pcs),PL3,,
563,SG01544,"Metal, aluminum 41.5"" x 19.5"" x 1.5""",LMS,,$588.91 ,3/20/2025,vertical foam core mold,PL3,,
241,,"Metal, aluminum 1 3/4"" x 4"" x 20"" 6061",LMS,,,,for subs (2 pieces for LA),PL3,,
242,,"Metal, aluminum 1 3/4"" x 4"" x 21"" 6061",LMS,,,10/24/2024,,PL3,,
582,,"Metal, aluminum 1 3/4"" x 7"" x 18"" 6061",LMS,,$109.36 ,2/25/2025,for molds,PL3,,
243,,"Metal, aluminum 1 3/4"" x 7 1/2"" x 34"" 6061",LMS,,,,stock molds (2 pieces),PL3,,
547,,"Metal, aluminum 1 3/4"" x 18.5"" x 26"" 6061",LMS,,$430.40 ,3/5/2025,AS mold,PL3,,
228,,"Metal, aluminum 1 3/4"" x 21.5"" x 29"" Mic6",LMS Metal,,$575.00 ,12/9/2024,tailcone mold,PL3,,
229,,"Metal, aluminum 2 1/2"" x 21.5"" x 29"" Mic6",LMS Metal,,$805.00 ,12/9/2024,tailcone mold,PL3,,
183,34040-1 RevB,"Metal, aluminum 5.75"" x 6"" x 16""",LMS,,$435.00 ,,UH-60 antenna cover mold,PL2,,
187,34040-1 RevB,"Metal, aluminum 5.75"" x 7"" x 16""",LMS,,$535.00 ,,UH-60 antenna cover mold,PL2,,
84,,"Metal, aluminum 6"" x 13"" x 18"" 6061",LMS,,,,tailcone molds,PL3,,
598,,"Metal, aluminum rod 25 mm diameter x 3' long",McMaster,4634T43,$46.83 ,4/3/2025,vertical foam core mold,PL2,,
599,,"Metal, aluminum rod 3/4"" diameter x 3' long",McMaster,8974K11,$13.51 ,4/3/2025,vertical foam core mold,PL2,,
244,,"Metal, steel flat 1/2"" {A} x 1"" x 3"" 1018",Speedy Metals,hf.5x1,$1.65 ,3/13/2024,plugging,PL1,,
245,,"Metal, steel flat 1/2"" {A} x 1"" x 4"" 1018",Speedy Metals,hf.5x1,$1.96 ,3/13/2024,plugging,PL1,,
246,,"Metal, steel flat 1/2"" x 3/4"" x 3.125"" 1018",Speedy Metals,,$1.32 ,7/17/2024,mold columns,PL1,,
247,,"Metal, steel flat 3/16"" x 1/2"" x 2"" 1018",Speedy Metals,,$0.68 ,7/17/2024,AG pinch plates,PL1,,
248,,"Metal, steel flat 3/16"" x 1/2"" x 2"" A36",Speedy Metals,,$0.45 ,6/5/2024,AG pinch plates,PL1,,
600,,"Metal, steel rod, .238"" diameter x 3' long",McMaster,8893K199,$8.67 ,4/3/2025,control surface assembly,PL2,,
600a,,"Metal, steel rod, .238"" diameter x 6' long",McMaster,8893K199,$15.77 ,4/3/2025,control surface assembly,PL2,,
 560f,SG01545,"Metal, steel rod, 1/4"" diameter, 60"" long",McMaster,6061K324,,3/5/2025,rudder & elevator assembly,PL2,,
560f(1),,"Metal, steel rod, 1/4"" diameter, 3 7/8"" long",McMaster,8893K199,,,vertical QC (rudder assembly),PL2,,
560f(2),,"Metal, steel rod, 1/4"" diameter, 18"" long",McMaster,8893K199,,,horizontal QC (elevator assembly),PL2,,
579,,"Metal, steel rod, 6 mm diameter, 100 mm long ",McMaster,91595A483,$3.33 ,2/25/2025,Tail mold alignment pin,PL2,,
439,,"Metal, steel rod, 1 1/4"" diameter x 2' long",McMaster,8920K271,$29.23 ,9/2/2025,mandrel trolley part,"Facilities, PL2",,
462,,"Metal, steel tube 1 3/4"" 1/4"" thickness x 3' long",McMaster,7767T82,$98.09 ,9/2/2025,mandrel trolley part,"Facilities, PL2",,
230,,"Metal tube, aluminum 3""OD x 1/2"" wall x 112"" 6061",LMS Metal,,,6/11/2024,mandrel shaft,PL2,,
232,,"Metal tube, aluminum 5""OD x 1"" wall x 112"" 6061",LMS Metal,,,9/10/2024,mandrel,PL2,,
237,,"Metal tube, aluminum 11""OD x 1"" wall x 72"" 6061",LMS Metal,,,9/10/2024,,PL2,,
239,4002P0001-RevH,"Metal tube, aluminum 12""OD x .5"" wall x 106"" 6061",LMS Metal,,,9/17/2024,Disruptor fuselage mandrel,PL2,,
587,,"Metal Cut-off Disc 3""",,,,,,PL1,,
249,,"Milling Insert  .5"" square x .187 thick x 20 deg side x .218 hole",MariTool,SEHT1204AFFN CX10,$12.50 ,11/26/2024,,PL3,,
250,,"Mixer, 1.5 HP for plugging",Webstaurant,541CMIX20,$799.00 ,2/14/2024,,PL1,,
251,,"Mixing bowl, 20 qt stainless steel",Webstaurant,177MX20BOWL,$199.00 , ,,PL1,,
252,,Mixing Container 1 qt,Uline,S-22982,$0.95 ,2/24/2021,,PL1,,
253,,"Mixing Cups, case",English Color,A75,$37.29 ,5/20/2025,,PL1,,
254,,Mixing Wand for Pro-Set (plastic tips),Composites One,560371,$108.48 ,5/10/2022,,"PL1, PL2",,
488,,"Net, minnow, bait 6-8""",Amazon,,$15.00 ,9/2/2025,"To clean CNC troughs, chips",PL3,,
255,,"Nut, 1/2""-13 Heavy Hex Nut, extra wide (7/8"")",Fastener Superstore,201861,$0.28 ,7/17/2025,mold closure,"PL1, PL2",McMaster,94811A235
257,,"Nut, 3/8/16 hex locking nut",McMaster,,,,for fixtures on manual mill,PL1,,
256,,"Nut, 3/8/16 hex locking nut, flange",McMaster,,,,for fixtures on manual mill,PL1,,
258,,"Nut, 10-32 9/32"" T-Nut",McMaster,90594A115,,,for AG stocks,PL1,,
259,,"Nut, 10-32 Hex",McMaster,90480A195,,,,PL1,,
260,,"O-Ring, black washer ",McMaster,2418T115,$11.75 ,3/25/2022,for cheek risers,PL1,,
261,,"Oil, Haas axis lube oil",,,,,,PL3,,
262,,"Oil, Hertz SmartOil 6000 Rotary Screw Compressor ",Compressed Air USA,1315102200,$226.10 ,8/31/2023,,PL1,,
263,,"Oil, Spindle, Mobil 5 gal",Grainger,5ZN14,$198.82 ,1/19/2022,,"PL1, PL3",,
264,,"Oil, Vactra #2",McMaster,2158K41,$183.33 ,6/11/2025,5 gallons,PL3,,
265,,Oven Gloves,Amazon,X002RKEP17,$10.67 ,4/30/2025,,"PL1, PL2",,
266,,Packing List Pouches,ULine,S-750,$55.00 ,9/10/2025,,Shipping,,
267,,Packing List Sleeve,N AL Chem,,,,,Shipping,,
268,,Packing Peanuts,American Paper & Twine,30880,$50.00 ,7/23/2025,,Shipping,,
269,,"Pail Pump, Stainless Steel",Uline,H-4897,$99.00 ,3/3/2021,,PL1,,
270,,Paint 276,Marine Coat One,,,12/6/2024,duratec replacement for stocks,PL1,,
271,,Paint Booth Filter (for air dryer in back) DeVilbiss 130504,Amazon,,$99.00 ,2/17/2022,ordered 2,PL1,,
272,,"Paint Brushes - 3"" ",Amazon,,19.79/24,9/12/2024,,PL1,,
273,,"Paint Can, pint size no handle",Uline,S-15743,$55/24,3/15/2022,,PL1,,
274,,"Paint Can Mixing Lid, gallon",,,,,,PL1,,
275,,Paint Gun Cup Disposable Inserts,English Color,16000,$140.10 ,10/23/2024,,PL1,,
276,,"Paint Gun Cup, Iwata Airgunsa 600cc (Duratec)",Auto Color Warehouse,iw9131,$36.79 ,7/10/2025,,PL1,,
277,,"Paint Gun Regulator Valve, Le Lematec",Amazon,X002F9W4YP,$22.72 ,9/26/2024,,PL1,,
